wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data/hjhong/l2/wandb/wandb/offline-run-20260704_205940-ppaa3nqr
wandb: View this run in the terminal with `wandb leet`
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/nn/modules/linear.py:125: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return F.linear(input, self.weight, self.bias)
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/autograd/graph.py:823: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[baseline hold_position] return=0.000+-0.000 captured=0.00 wasted=0.00 clean=0.00
[baseline scripted_shaping] return=3.060+-0.010 captured=0.00 wasted=0.00 clean=0.00
[seed 0] upd 50/390 step=25600 ep_ret=2.221 cap=0.00 kl_l=0.0069 kl_f=0.0124 sps=24.7
[seed 0] upd 51/390 step=26112 ep_ret=1.966 cap=0.00 kl_l=0.0050 kl_f=0.0129 sps=24.7
[seed 0] upd 52/390 step=26624 ep_ret=2.776 cap=0.00 kl_l=0.0075 kl_f=0.0109 sps=24.7
[seed 0] upd 53/390 step=27136 ep_ret=2.300 cap=0.00 kl_l=0.0097 kl_f=0.0099 sps=24.7
[seed 0] upd 54/390 step=27648 ep_ret=2.819 cap=0.00 kl_l=0.0093 kl_f=0.0122 sps=24.8
[seed 0] upd 55/390 step=28160 ep_ret=2.642 cap=0.00 kl_l=0.0085 kl_f=0.0094 sps=24.8
[seed 0] upd 56/390 step=28672 ep_ret=2.370 cap=0.00 kl_l=0.0061 kl_f=0.0140 sps=24.8
[seed 0] upd 57/390 step=29184 ep_ret=1.546 cap=0.00 kl_l=0.0074 kl_f=0.0128 sps=24.8
[seed 0] upd 58/390 step=29696 ep_ret=1.649 cap=0.00 kl_l=0.0121 kl_f=0.0098 sps=24.8
[seed 0] upd 59/390 step=30208 ep_ret=1.750 cap=0.00 kl_l=0.0065 kl_f=0.0088 sps=24.8
[seed 0] upd 60/390 step=30720 ep_ret=1.578 cap=0.00 kl_l=0.0094 kl_f=0.0102 sps=24.8
  [eval] return=3.073+-0.523 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=+0.013
[seed 0] upd 61/390 step=31232 ep_ret=1.676 cap=0.00 kl_l=0.0088 kl_f=0.0118 sps=24.5
[seed 0] upd 62/390 step=31744 ep_ret=2.248 cap=0.00 kl_l=0.0141 kl_f=0.0112 sps=24.5
[seed 0] upd 63/390 step=32256 ep_ret=2.344 cap=0.00 kl_l=0.0112 kl_f=0.0100 sps=24.5
[seed 0] upd 64/390 step=32768 ep_ret=2.647 cap=0.00 kl_l=0.0092 kl_f=0.0092 sps=24.5
[seed 0] upd 65/390 step=33280 ep_ret=2.148 cap=0.00 kl_l=0.0080 kl_f=0.0120 sps=24.5
[seed 0] upd 66/390 step=33792 ep_ret=1.526 cap=0.00 kl_l=0.0054 kl_f=0.0114 sps=24.5
[seed 0] upd 67/390 step=34304 ep_ret=1.897 cap=0.00 kl_l=0.0101 kl_f=0.0086 sps=24.5
[seed 0] upd 68/390 step=34816 ep_ret=2.087 cap=0.00 kl_l=0.0099 kl_f=0.0134 sps=24.5
[seed 0] upd 69/390 step=35328 ep_ret=2.535 cap=0.00 kl_l=0.0121 kl_f=0.0104 sps=24.6
[seed 0] upd 70/390 step=35840 ep_ret=1.575 cap=0.00 kl_l=0.0073 kl_f=0.0118 sps=24.6
[seed 0] upd 71/390 step=36352 ep_ret=2.042 cap=0.00 kl_l=0.0069 kl_f=0.0089 sps=24.6
[seed 0] upd 72/390 step=36864 ep_ret=2.167 cap=0.00 kl_l=0.0093 kl_f=0.0120 sps=24.6
[seed 0] upd 73/390 step=37376 ep_ret=1.524 cap=0.00 kl_l=0.0128 kl_f=0.0096 sps=24.6
[seed 0] upd 74/390 step=37888 ep_ret=2.771 cap=0.00 kl_l=0.0095 kl_f=0.0095 sps=24.6
[seed 0] upd 75/390 step=38400 ep_ret=2.354 cap=0.00 kl_l=0.0119 kl_f=0.0122 sps=24.6
[seed 0] upd 76/390 step=38912 ep_ret=1.521 cap=0.00 kl_l=0.0095 kl_f=0.0115 sps=24.6
[seed 0] upd 77/390 step=39424 ep_ret=2.091 cap=0.00 kl_l=0.0096 kl_f=0.0109 sps=24.6
[seed 0] upd 78/390 step=39936 ep_ret=2.913 cap=0.00 kl_l=0.0066 kl_f=0.0111 sps=24.6
[seed 0] upd 79/390 step=40448 ep_ret=3.169 cap=0.00 kl_l=0.0076 kl_f=0.0106 sps=24.6
[seed 0] upd 80/390 step=40960 ep_ret=2.893 cap=0.00 kl_l=0.0106 kl_f=0.0128 sps=24.6
  [eval] return=3.984+-0.003 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=+0.924
[seed 0] upd 81/390 step=41472 ep_ret=2.593 cap=0.00 kl_l=0.0127 kl_f=0.0085 sps=24.4
[seed 0] upd 82/390 step=41984 ep_ret=2.221 cap=0.00 kl_l=0.0111 kl_f=0.0108 sps=24.4
[seed 0] upd 83/390 step=42496 ep_ret=2.165 cap=0.00 kl_l=0.0071 kl_f=0.0121 sps=24.4
[seed 0] upd 84/390 step=43008 ep_ret=2.771 cap=0.00 kl_l=0.0103 kl_f=0.0091 sps=24.4
[seed 0] upd 85/390 step=43520 ep_ret=2.410 cap=0.00 kl_l=0.0091 kl_f=0.0119 sps=24.4
[seed 0] upd 86/390 step=44032 ep_ret=2.535 cap=0.00 kl_l=0.0084 kl_f=0.0126 sps=24.4
[seed 0] upd 87/390 step=44544 ep_ret=2.170 cap=0.00 kl_l=0.0125 kl_f=0.0122 sps=24.5
[seed 0] upd 88/390 step=45056 ep_ret=1.971 cap=0.00 kl_l=0.0100 kl_f=0.0106 sps=24.5
[seed 0] upd 89/390 step=45568 ep_ret=1.543 cap=0.00 kl_l=0.0062 kl_f=0.0143 sps=24.5
[seed 0] upd 90/390 step=46080 ep_ret=2.365 cap=0.00 kl_l=0.0084 kl_f=0.0105 sps=24.5
[seed 0] upd 91/390 step=46592 ep_ret=2.894 cap=0.00 kl_l=0.0086 kl_f=0.0113 sps=24.5
[seed 0] upd 92/390 step=47104 ep_ret=2.419 cap=0.00 kl_l=0.0099 kl_f=0.0114 sps=24.5
[seed 0] upd 93/390 step=47616 ep_ret=2.865 cap=0.00 kl_l=0.0081 kl_f=0.0121 sps=24.5
